mesurement id;Destination;avg(min RTT) from LISP-Lab;avg(min RTT) from mPlane;avg(min RTT) from FranceIX;avg(min RTT) from rmd;variance from LISP-Lab;variance from mPlane;variance from FranceIX;variance from rmd
2841000;31.13.76.102;158.57748319444443;144.49599999999998;129.51372088888888;158.14277791666666;27.186260299885863;2.8776537607340233;2.2970404365037824;2.4266387128453419
2841002;74.125.136.190;32.168919305555555;16.832666666666665;13.56812986111111;16.521728333333332;3.2448232777859141;1.5929989886304945;0.13117485426482234;0.37328043557722412
2841004;180.149.132.47;253.04071000000002;412.05199999999991;296.83295094444446;250.13203428571427;61.947051704128235;26.121154260271283;25.665183433873707;22.443100236228346
2841006;98.139.183.24;140.66551527777779;87.836472222222213;120.19096741666668;99.129295571428571;47.497396293268693;4.6219715399269887;40.753289484822204;21.849773015772229
2841008;205.251.242.54;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841010;91.198.174.192;27.839789861111107;16.052694444444441;12.686753416666667;20.817928194444445;5.4470182668984757;2.4711303398719791;0.13551864584816678;0.20261330451596415
2841012;125.39.240.113;352.71061638888892;347.22358333333329;393.94744113888896;420.53717371428576;27.590121224498581;32.911980698840253;46.838326477953892;27.199462139608812
2841014;199.16.156.198;100.84451944444446;93.401083333333347;90.529507388888888;108.76231541666667;25.000947215653891;2.5730928576650052;0.072451333144423966;2.3470194868741907
2841016;110.75.115.70;384.29543333333345;418.71561111111106;362.15083319444443;310.38022194444443;67.920861561386914;108.65152367476844;64.209906839563729;80.747571022297294
2841018;65.55.206.154;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841020;202.108.33.60;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841022;199.101.163.129;164.99176277777775;154.74727777777778;167.29528930555554;161.56995847222225;28.360832968333266;3.0177389586973087;0.1057083765709609;3.6539914561500852
2841024;183.79.135.206;281.25088416666659;259.60411111111102;267.23722361111112;278.31647222222222;5.2641926066233999;4.5120929596522279;0.10791752790267678;8.323402746420733
2841026;114.134.80.162;260.37519041666661;263.71588888888886;261.26130613888898;306.43325214285716;44.312471624864038;6.208032904488336;5.2566776116295406;5.4910597825627026
2841028;66.211.160.87;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841030;5.255.255.55;61.189223750000011;60.88966666666667;57.669103249999999;62.160633194444443;10.738656393093581;2.1652124222194304;0.28799413612697233;3.3609042303341496
2841032;180.149.131.31;311.85460930555558;352.76841666666667;298.2120493611111;209.28251471428572;43.254663218000154;45.649942003355513;33.394274290782853;24.551965195598612
2841034;87.240.131.120;56.87637763888889;53.018166666666659;57.252949916666665;53.414664142857148;9.8586790347355358;2.9493150381816533;0.1365580021428375;5.1052759226390334
2841036;204.79.197.200;31.262918194444449;3.2100833333333334;9.9654139444444425;2.1661675714285709;5.9568975104262485;2.9841160088318728;0.17210199854784836;0.22756022363752237
2841038;52.2.166.221;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841040;199.16.156.11;102.39364472222222;94.759861111111121;92.380412555555552;108.96787057142858;17.535001227747358;3.5710503213167613;0.089699749924228175;0.92102023231753516
2841042;23.101.196.141;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841044;54.240.250.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841046;23.235.37.84;22.96304125;9.3834444444444429;9.7032271944444446;9.6662559722222223;3.8878971553797879;2.3287406520888836;0.11749075831854927;0.6719291523105313
2841048;198.11.132.43;163.3253173611111;160.31944444444446;149.53154672222223;156.78626777777777;39.994685000939818;2.7594996773212017;0.13906994122295571;0.48660905324278547
2841050;66.235.120.127;93.108535277777776;80.111861111111111;84.668255250000001;82.378741999999988;16.098992671640076;2.2760637580502618;0.66333096191994001;0.8557908102294296
2841052;110.75.114.89;336.12295138888891;467.90913888888889;404.95766311111106;313.42274714285719;82.40846868681129;91.927597991013428;27.578450525394739;80.495638267625822
2841054;74.125.136.191;31.283698194444444;17.95877777777778;13.618809749999999;16.315329999999999;6.2481821016831178;2.830668620574682;0.1523033148914025;0.45816745561140498
2841056;192.0.78.17;23.272889861111114;12.184833333333332;10.253774472222224;12.776850285714287;5.5302064050370827;2.7481557603842863;0.1524551997432336;0.17337892947835742
