mesurement id;Destination;avg(min RTT) from LISP-Lab;avg(min RTT) from mPlane;avg(min RTT) from FranceIX;avg(min RTT) from rmd;variace from LISP-Lab;variace from mPlane;variace from FranceIX;variace from rmd
2841000;31.13.76.102;158.57748319444443;144.49599999999998;129.51372088888888;158.14277791666666;26.816361971526451;2.838500184480758;2.2657867293640663;2.3936216816864997
2841002;74.125.136.190;32.168919305555555;16.832666666666665;13.56812986111111;16.521728333333332;3.2006739651171259;1.5713245230558701;0.12939007920638773;0.36820155353878986
2841004;180.149.132.47;253.04071000000002;412.05199999999991;296.83295094444446;250.13203428571427;61.104195400267734;25.76574784581371;25.31598099321042;22.129195262938122
2841006;98.139.183.24;140.66551527777779;87.836472222222213;120.19096741666668;99.129295571428571;46.851143101527626;4.5590846431090783;40.198797124001018;21.544166733987602
2841008;205.251.242.54;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841010;91.198.174.192;27.839789861111107;16.052694444444441;12.686753416666667;20.817928194444445;5.3729057214713505;2.4375079522469805;0.13367476883059187;0.19985653246209889
2841012;125.39.240.113;352.71061638888892;347.22358333333329;393.94744113888896;420.53717371428576;27.214727933637668;32.464177782616815;46.201040640319931;26.819031345887186
2841014;199.16.156.198;100.84451944444446;93.401083333333347;90.529507388888888;108.76231541666667;24.660782423569152;2.5380831602566483;0.07146555478719821;2.3150857609683375
2841016;110.75.115.70;384.29543333333345;418.71561111111106;362.15083319444443;310.38022194444443;66.996725145596287;107.1732027678959;63.336261956373676;79.648913420598532
2841018;65.55.206.154;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841020;202.108.33.60;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841022;199.101.163.129;164.99176277777775;154.74727777777778;167.29528930555554;161.56995847222225;27.974953314782276;2.9766793725705658;0.10427010034775598;3.6042749700810113
2841024;183.79.135.206;281.25088416666659;259.60411111111102;267.23722361111112;278.31647222222222;5.1925676010554165;4.4507010791667518;0.10644919379818621;8.2101538946771893
2841026;114.134.80.162;260.37519041666661;263.71588888888886;261.26130613888898;306.43325214285716;43.709552760750171;6.12356593593731;5.1851548556558447;5.4142579612350961
2841028;66.211.160.87;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841030;5.255.255.55;61.189223750000011;60.88966666666667;57.669103249999999;62.160633194444443;10.592545416268713;2.1357523770831244;0.28407566597493278;3.315175511383353
2841032;180.149.131.31;311.85460930555558;352.76841666666667;298.2120493611111;209.28251471428572;42.666136975641074;45.028825415399638;32.939909251212171;24.20856415484106
2841034;87.240.131.120;56.87637763888889;53.018166666666659;57.252949916666665;53.414664142857148;9.7245410968744768;2.9091864331291495;0.13469998356435181;5.0338699455116709
2841036;204.79.197.200;31.262918194444449;3.2100833333333334;9.9654139444444425;2.1661675714285709;5.8758475091752755;2.9435138991219869;0.16976036564696606;0.22437740641659559
2841038;52.2.166.221;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841040;199.16.156.11;102.39364472222222;94.759861111111121;92.380412555555552;108.96787057142858;17.296418665439173;3.5224623386456777;0.088479288294521438;0.90813819603991364
2841042;23.101.196.141;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841044;54.240.250.0;-1.0;-1.0;-1.0;-1.0;0.0;0.0;0.0;0.0
2841046;23.235.37.84;22.96304125;9.3834444444444429;9.7032271944444446;9.6662559722222223;3.8349981305508987;2.2970556294013789;0.11589217011184789;0.66278683308479103
2841048;198.11.132.43;163.3253173611111;160.31944444444446;149.53154672222223;156.78626777777777;39.450514270507618;2.7219537145263946;0.13717774501001687;0.47998821340039566
2841050;66.235.120.127;93.108535277777776;80.111861111111111;84.668255250000001;82.378741999999988;15.879948551123977;2.2450954611953327;0.65430563032755995;0.84382111849346142
2841052;110.75.114.89;336.12295138888891;467.90913888888889;404.95766311111106;313.42274714285719;81.287212784982145;90.676824090819636;27.203216026954763;79.369769697133492
2841054;74.125.136.191;31.283698194444444;17.95877777777778;13.618809749999999;16.315329999999999;6.1631688600969809;2.7921543277171823;0.15023106438837308;0.45175920356947058
2841056;192.0.78.17;23.272889861111114;12.184833333333332;10.253774472222224;12.776850285714287;5.4549619954661814;2.7107641437873649;0.15038088268334143;0.17095392991706077
